"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"2114",14.1,26.56583333,36.93333333,94.16666667,"13",19.3339061737061,19.3681297302246,19.2855587005615
"2115",15,27.8865,37.56666667,93.6,"14",20.0953121185303,20.0690116882324,20.2821998596191
"2116",16.3,27.2385,35.86666667,95.23333333,"15",21.021821975708,20.9319152832031,20.8761882781982
"2117",22.6,28.74183334,34.43333333,94.6,"16",21.9856719970703,21.9676074981689,21.9990844726562
"2118",25,29.2845,39.56666667,91.23333333,"17",23.0579605102539,23.1943321228027,23.0787525177002
"2119",31,50.431,48.3,85.86666667,"18",34.4596519470215,34.3481292724609,34.2509117126465
"2120",36.8,72.20366667,51.1,84.16666667,"19",47.8824577331543,47.1798210144043,46.9008560180664
"2121",27.5,46.05466667,53.46666667,83.43333333,"20",31.0796394348145,30.6911430358887,31.0442447662354
"2122",26,46.27233334,57.4,82.13333333,"21",30.0680866241455,29.8212585449219,29.8414115905762
"2123",24.3,38.72266667,66.63333333,79.03333333,"22",24.2557735443115,24.006311416626,23.9780120849609
"2124",12.1,31.44816667,70.06666667,77.66666667,"23",18.7346591949463,18.9179821014404,18.8560314178467
"2125",9.9,26.178,69.93333333,77.23333333,"0",15.2440414428711,15.0559482574463,15.233678817749
"2126",11.1,25.57983334,68.8,78,"1",14.2454624176025,14.476544380188,14.5226135253906
"2127",12.8,23.90583334,67.33333333,78.56666667,"2",13.3248062133789,13.9610872268677,13.444055557251
"2128",20.2,26.538,68,77.9,"3",13.9800157546997,14.4780979156494,14.4549465179443
"2129",15.1,25.4155,67.93333333,77.66666667,"4",13.4880867004395,13.8081274032593,13.8916139602661
"2130",17.8,24.80966667,67.16666667,77.7,"5",13.2541179656982,13.8331871032715,13.8172922134399
"2131",18.4,34.364,67,77.6,"6",17.9321460723877,18.0908145904541,18.1319160461426
"2132",16.6,45.60366667,64.4,79.66666667,"7",22.7039222717285,22.3423595428467,22.4902496337891
"2133",9.3,37.2245,54.4,84.26666667,"8",19.3958740234375,19.6384887695312,19.7939548492432
"2134",8.9,23.88616667,46.63333333,88.2,"9",14.5850009918213,14.9245567321777,14.9420289993286
"2135",9.1,19.63433334,38.26666667,93.06666667,"10",14.0279359817505,14.6541748046875,14.1162223815918
"2136",8.3,12.28333334,32.23333333,98.13333333,"11",11.5665998458862,11.6959619522095,11.6353597640991
"2137",10,11.92233334,32.66666667,97.13333333,"12",11.3369655609131,11.5409564971924,11.4976005554199
"2138",12.5,11.2575,32.16666667,97.6,"13",11.2100429534912,11.2291469573975,11.3409738540649
"2139",11.5,17.176,35.43333333,94.66666667,"14",14.3183298110962,14.6369333267212,14.6224460601807
"2140",10.9,12.74333334,32.23333333,97.2,"15",13.2546815872192,13.2714214324951,13.2726020812988
"2141",11.8,15.15016667,37.26666667,93.53333333,"16",14.3061227798462,14.4051074981689,14.4328374862671
"2142",18.6,17.70366667,45.66666667,87.56666667,"17",16.2579040527344,16.5819702148438,16.3509178161621
"2143",22.5,27.88716667,53.23333333,83.86666667,"18",21.7044658660889,21.5709419250488,21.6820793151855
"2144",20.9,32.565,53.16666667,83.03333333,"19",25.859899520874,25.3611850738525,25.2479267120361
"2145",20.5,36.20966667,56.93333333,82.86666667,"20",25.4458503723145,25.6663951873779,25.484001159668
"2146",20.2,34.2315,59.56666667,81,"21",23.2790756225586,23.2213191986084,23.1547565460205
"2147",20.1,32.53316667,62.7,79.13333333,"22",21.050537109375,20.8973007202148,20.8567276000977
"2148",12.7,30.00016667,62.93333333,78.86666667,"23",18.3424377441406,18.4740390777588,18.5222415924072
"2149",12.5,29.20616667,63.03333333,78.36666667,"0",17.3095417022705,17.3084163665771,17.3128890991211
"2150",11.3,28.37083334,63,78.33333333,"1",16.1039047241211,16.3264122009277,16.3898124694824
"2151",17,31.16983333,63.66666667,78.13333333,"2",17.5225067138672,17.5935726165771,17.5937442779541
"2152",15,30.40433333,63.53333333,78.43333333,"3",16.3652648925781,17.2248916625977,16.8305244445801
"2153",10.6,26.40533334,63.6,78.03333333,"4",14.2742652893066,14.6895561218262,14.694995880127
"2154",12.5,26.88033334,63.26666667,78.6,"5",14.6254634857178,15.12584400177,15.1930818557739
"2155",16.2,33.3585,63.73333333,78.56666667,"6",17.5724811553955,17.628734588623,17.802583694458
"2156",11.8,36.14883334,60.8,80.1,"7",17.6850242614746,17.6898708343506,17.5850257873535
"2157",12.7,28.03933334,53.06666667,83.73333333,"8",14.3837985992432,14.8502788543701,14.8784580230713
"2158",15.9,30.6955,49.2,86,"9",18.1601886749268,18.8390522003174,18.4343128204346
"2159",8.7,15.65233334,41.43333333,90.76666667,"10",11.6101512908936,11.7639846801758,11.716064453125
"2160",6.8,19.856,38.13333333,93.33333333,"11",15.3288745880127,15.3670644760132,15.2852945327759
"2161",11.2,12.22316667,32.5,97.36666667,"12",11.5170335769653,11.613842010498,11.675929069519
"2162",9,12.20033334,30.43333333,99.46666667,"13",11.8636684417725,12.5821180343628,11.9972858428955
"2163",12.3,10.51966667,34.06666667,95.4,"14",10.7317724227905,11.1367311477661,11.1090393066406
"2164",1.7,10.06833333,35.26666667,95.1,"15",11.5700445175171,11.6118831634521,11.5939064025879
"2165",15.1,11.59,34.53333333,95.76666667,"16",12.5346832275391,12.5887813568115,12.7139501571655
"2166",10.2,8.920166667,42.23333333,88.96666667,"17",11.621678352356,11.7695713043213,11.8214721679688
"2167",15.1,10.55916667,62.06666667,80.1,"18",11.582649230957,11.8031167984009,11.6712131500244
"2168",6.9,19.52016667,68.16666667,78.3,"19",17.7525463104248,17.2959537506104,17.1717643737793
"2169",12.2,33.12366667,67.83333333,79,"20",23.0754814147949,23.0808048248291,23.074254989624
"2170",12.4,19.80983333,67.63333333,78,"21",14.8196268081665,14.9445600509644,14.7833633422852
"2171",9.8,18.816,68.96666667,78,"22",13.116678237915,13.037449836731,13.0163192749023
"2172",6,14.32033333,67.8,78,"23",9.40545463562012,9.64643001556396,9.70641136169434
"2173",6.4,14.199,65.93333333,78.23333333,"0",8.86498832702637,8.96213340759277,8.99549961090088
"2174",7.5,16.70333333,65.16666667,78.43333333,"1",9.54768848419189,9.99471378326416,9.93313026428223
"2175",10.3,18.50383334,64.7,79,"2",10.4921054840088,10.5525951385498,10.679949760437
"2176",9.1,22.40866667,64.56666667,78.9,"3",11.9050712585449,12.4515676498413,12.4415597915649
"2177",14.1,21.9115,64.16666667,79,"4",11.7834634780884,12.2161951065063,12.2447566986084
"2178",12.7,20.7915,64.5,78.6,"5",11.1974048614502,11.8178443908691,11.8163022994995
"2179",16,29.56833333,65.86666667,78,"6",15.3533277511597,15.6916780471802,15.6066284179688
"2180",9.2,21.42016667,62.96666667,78.76666667,"7",9.40753078460693,9.15839004516602,9.4357328414917
"2181",11.1,26.107,59.13333333,81,"8",12.9333744049072,13.3359231948853,13.4078254699707
"2182",3.8,19.17266667,52.96666667,85,"9",11.5745372772217,11.9168796539307,11.93630027771
"2183",8.8,18.45683334,46.23333333,88.4,"10",12.8509473800659,12.9136562347412,12.898871421814
"2184",25.4,26.5385,53.7,85.4,"11",18.0150566101074,17.76731300354,17.8065624237061
"2185",5.8,20.24666667,57.13333333,84.5,"12",14.3523092269897,14.3569478988647,14.2746887207031
"2186",12.6,20.54516667,44.1,92,"13",15.5794258117676,15.3990993499756,15.5439968109131
"2187",15.8,14.068,35.33333333,96.96666667,"14",12.657208442688,13.1865816116333,12.993426322937
"2188",17.1,18.42133333,44.4,90.33333333,"15",15.59104347229,15.5140113830566,15.4752464294434
"2189",32.2,29.04516667,49.53333333,87.26666667,"16",21.1873416900635,21.0946826934814,21.1007137298584
"2190",20.6,18.38633333,59.53333333,82.26666667,"17",15.7789134979248,15.8664360046387,15.7770614624023
"2191",15.4,20.81433334,66.3,80,"18",17.016809463501,16.8677177429199,16.9803028106689
"2192",25.5,39.60916667,66.43333333,80,"19",28.9746475219727,28.2754898071289,28.2114486694336
"2193",32.4,40.86066667,69.53333333,78.2,"20",27.2394981384277,26.9436740875244,27.1525955200195
"2194",2.6,7.507166667,72.26666667,76.3,"21",7.74190521240234,7.69536399841309,7.79506540298462
"2195",19.3,25.08,71,77,"22",16.4451885223389,16.265438079834,16.2712211608887
"2196",17.1,27.71616667,70.66666667,77.03333333,"23",16.6281661987305,16.6438484191895,16.7815227508545
"2197",15.1,27.689,69.73333333,77.7,"0",16.0991592407227,16.0859699249268,16.0757179260254
"2198",15.6,25.86266667,69.66666667,77.23333333,"1",14.3387308120728,14.5897407531738,14.6073560714722
"2199",14.2,25.78416667,69.33333333,77,"2",14.2211894989014,14.2839870452881,14.3090486526489
"2200",22.6,29.07116667,69.46666667,77,"3",15.2809047698975,15.6778345108032,15.7218084335327
"2201",15,35.06566667,70.7,76.96666667,"4",18.6536350250244,18.8181266784668,18.9465370178223
"2202",21.8,40.60466667,71.23333333,76.13333333,"5",21.7244682312012,22.0817642211914,22.1091327667236
