"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"131",14.4,17.275,44.28888889,88.11111111,"10",13.9408311843872,14.2186069488525,13.9854459762573
"132",14.2,16.09911111,38.44444444,91.6,"11",13.7288494110107,13.4371690750122,14.1782541275024
"133",18.2,18.74311112,34.71111111,94.02222222,"12",13.9721612930298,15.3715391159058,14.7434520721436
"134",18.3,16.82922222,32.8,95.68888889,"13",15.0814924240112,15.7012758255005,15.4772644042969
"135",18.8,14.82755556,32.06666667,95.88888889,"14",14.087308883667,13.9674034118652,14.9772481918335
"136",20.6,16.30866107,33.2173913,94.7826087,"15",17.637659072876,15.8002290725708,17.546049118042
"137",19,18.513,33.71111111,93.97777778,"16",17.6389064788818,19.8232345581055,19.3767108917236
"138",25.3,19.34622222,35.55555556,92.66666667,"17",21.2825927734375,19.3334980010986,20.6898918151855
"139",24.3,22.16966667,43.97777778,87.51111111,"18",23.5714263916016,20.3395290374756,21.7294692993164
"140",16.9,19.86749472,51.06818182,83.40909091,"19",18.2357635498047,18.9720821380615,17.8235034942627
"141",31.8,26.09644445,55.86666667,82.95555556,"20",24.7305278778076,20.226978302002,24.6271839141846
"142",29.1,28.42233334,64.15555556,79.97777778,"21",21.1752300262451,21.6034927368164,24.4977760314941
"143",25.5,28.79666667,65.26666667,79.88888889,"22",24.0399227142334,22.052433013916,24.3030853271484
"144",26.8,26.19144445,63.93333333,79.55555556,"23",17.1563167572021,18.4116554260254,21.154712677002
"145",25.1,29.253,63.95555556,79.02222222,"0",19.4465770721436,19.3292961120605,20.6467628479004
"146",18.7,20.44744445,63.48888889,78.42222222,"1",12.5519027709961,14.9144496917725,15.2810459136963
"147",13.4,15.52877778,61.97777778,78.95555556,"2",12.138331413269,12.2423334121704,12.5452976226807
"148",12.5,16.06266667,60.82222222,79,"3",13.2551364898682,13.9826288223267,13.3874111175537
"149",12.5,13.52866667,60.68888889,78.35555556,"4",11.206561088562,10.6256923675537,10.995192527771
"150",13.4,15.67411112,61.88888889,78,"5",13.6138620376587,12.7415142059326,13.2071313858032
"151",21.6,29.59666667,60.8,78,"6",19.4113636016846,18.203498840332,19.3974609375
"152",22.1,30.00766667,59.73333333,78.66666667,"7",19.6209106445312,17.3929309844971,18.7152690887451
"153",17.9,24.55655556,56.24444444,80.62222222,"8",17.7967834472656,16.0091915130615,15.6921720504761
"154",16.8,16.78811112,50.06666667,83.68888889,"9",13.776686668396,13.6688985824585,14.0537729263306
"155",18.6,13.87544445,47.08888889,85.35555556,"10",13.2989692687988,11.8782997131348,13.3942098617554
"156",19.8,11.401,42.82222222,88.26666667,"11",12.6364278793335,13.0293598175049,13.5612211227417
"157",15.8,12.66788889,40.6,89.91111111,"12",14.4192113876343,15.2115039825439,14.1897125244141
"158",14.8,11.47555556,37.91111111,91.95555556,"13",13.4587297439575,15.0643539428711,14.9687786102295
"159",20.1,12.16666667,33.26666667,95.28888889,"14",12.2158727645874,12.6175584793091,14.6533451080322
"160",17.4,9.367666667,31.62222222,95.97777778,"15",11.8013257980347,12.0133476257324,12.2893228530884
"161",13.8,11.04533333,35.06666667,93.77777778,"16",14.197416305542,15.6781253814697,14.3048057556152
"162",20.9,14.24811111,35.46666667,93.26666667,"17",16.794002532959,15.949387550354,16.6781578063965
"163",25,21.634,38.57777778,90.86666667,"18",23.1471691131592,21.0786552429199,20.5466270446777
"164",17.8,21.67588889,54.11111111,86.02222222,"19",19.3270301818848,19.2462177276611,18.663890838623
"165",38.4,46.284,59.33333333,85,"20",33.6614837646484,35.6977920532227,34.7835388183594
"166",46.2,53.82022222,61.26666667,83.75555556,"21",47.1014595031738,48.8707313537598,47.6535339355469
"167",20.6,27.78533334,67.11111111,79.84444444,"22",23.4657287597656,22.9090099334717,22.665096282959
"168",22.9,28.18355556,69.88888889,78.71111111,"23",18.7576351165771,17.78542137146,20.1640377044678
"169",23.8,25.74011111,69.73333333,79,"0",19.162223815918,17.5680103302002,19.6925220489502
"170",20.5,21.03755556,70.04444444,78,"1",15.1632213592529,15.2227258682251,16.5762748718262
"171",23,18.916,69.55555556,78,"2",15.8838586807251,14.1677093505859,16.1053714752197
"172",14.6,14.79033334,68.57777778,78,"3",12.7766733169556,10.5200634002686,11.2531213760376
"173",14.1,13.086,67.26666667,78,"4",12.0473861694336,11.0514326095581,11.3012094497681
"174",16.3,15.69888889,66.8,78,"5",13.4902191162109,12.3123340606689,12.7395238876343
"175",19.5,28.32433333,66.73333333,77.97777778,"6",19.7478504180908,19.5332260131836,19.4955520629883
"176",20.6,30.17611111,64.68888889,78.8,"7",18.9212512969971,17.6164245605469,18.9579296112061
"177",16.6,16.25,58.93333333,80.93333333,"8",10.1181192398071,9.78584480285645,10.5203418731689
"178",13.3,14.01066667,54.62222222,82.6,"9",9.95985889434814,9.88652992248535,10.9386358261108
"179",14.8,14.12666667,49.35555556,85.68888889,"10",12.1866436004639,12.8010568618774,13.3150777816772
"180",19.9,12.62788889,43.95555556,88.68888889,"11",14.5461750030518,11.521861076355,14.2635192871094
"181",15.7,12.30055556,41.95555556,90.13333333,"12",12.0186204910278,13.2650566101074,12.9208507537842
"182",16.6,12.58577778,40.4,91.28888889,"13",13.7479219436646,13.7137937545776,14.7610359191895
"183",13.9,12.42711111,39.17777778,92.64444444,"14",13.0146102905273,13.1951150894165,13.5261878967285
"184",20,12.84477273,36.13636364,94.81818182,"15",15.9522161483765,15.1522989273071,16.1031303405762
"185",20.4,20.64066667,37.91111111,93.86666667,"16",16.6200294494629,19.2572536468506,18.8839874267578
"186",20.8,19.75211111,42.53333333,89.88888889,"18",20.6353378295898,16.7453784942627,18.9675254821777
"187",25.4,30.06554348,43.95652174,88.39130435,"19",24.5955753326416,23.32936668396,24.7994022369385
"188",27,31.26088889,46,87.44444444,"20",27.198766708374,25.7988796234131,25.2748107910156
"189",36.1,33.32477778,49,86.35555556,"21",28.1341762542725,21.1430950164795,27.4290199279785
"190",22.6,24.46197675,57.65116279,81.95348837,"22",21.0291786193848,19.9271221160889,20.766450881958
"191",21.7,19.78255556,62.35555556,79.84444444,"23",18.1529960632324,15.6105432510376,17.9549865722656
"192",14.4,19.501,67.66666667,78.15555556,"0",14.0520629882812,11.7414398193359,12.1904230117798
"193",15.2,14.48811111,69.13333333,78,"1",11.2213983535767,10.1709117889404,10.8301811218262
"194",13,16.70044445,70.42222222,77.62222222,"2",12.682825088501,12.742208480835,12.8561344146729
"195",10,12.278,69.53333333,77,"3",10.4713258743286,10.8180885314941,10.0460214614868
"196",13.7,15.93022223,69.28888889,77,"4",12.2946557998657,12.3378973007202,12.4620571136475
"197",17.1,18.22766667,68.28888889,77,"5",14.8495187759399,13.6849050521851,14.2047338485718
"198",21.5,24.91955556,67.11111111,77.06666667,"6",16.8089504241943,16.3786163330078,17.3930435180664
"199",20.5,29.74011111,68.26666667,77,"7",20.2568283081055,20.0074291229248,19.8181266784668
"200",19.8,30.57655556,66.86666667,77.75555556,"8",18.2090263366699,18.4584312438965,19.0877685546875
"201",16.3,27.12733334,60.95555556,80.97777778,"9",16.5295486450195,17.3485317230225,16.9911613464355
"202",13.8,18.61366667,55.13333333,83.77777778,"10",14.3913421630859,12.5731916427612,13.0816621780396
"203",9.9,19.52377778,52.53333333,85.24444444,"11",15.4816036224365,16.5582256317139,13.7869234085083
"204",13.3,19.07844445,46.4,88.77777778,"12",14.2105722427368,13.072452545166,12.37912940979
"205",15.8,16.435,42.44444444,90.51111111,"13",14.9880208969116,15.2234401702881,15.458550453186
"206",10.6,13.87588889,39,92.66666667,"14",13.0595350265503,13.6172895431519,13.1391258239746
"207",13.1,13.626,36.62222222,93.82222222,"15",14.7492427825928,15.1696176528931,14.9257001876831
"208",18.2,15.73911111,35.82222222,93.8,"16",16.739725112915,17.2538051605225,17.2601547241211
