"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"1020",18.4,16.19033334,31.86666667,96.4,6.452633333,"15",17.8237107502865
"1021",17.8,18.12716667,31.66666667,96.86666667,8.62375,"16",19.5668646691333
"1022",27.1,21.145,37.4,92.73333333,11.03265,"17",21.6732295045823
"1023",22.3,28.01433333,47.43333333,86.26666667,10.101,"18",22.3539391731103
"1024",14.8,12.31383333,62.2,79.83333333,2.997333333,"19",8.6932596487421
"1025",28.4,35.10247127,65.76666667,79.23333333,15.49445,"20",24.8975235392233
"1026",24.4,33.1820914,67,79.13333333,15.15196667,"21",24.0461278145155
"1027",18.4,32.37375287,69.36666667,78.33333333,12.47932143,"22",22.7786954143772
"1028",19.6,26.99323563,69.51724138,77.72413793,11.10796667,"23",19.7786038265134
"1029",17.9,26.279,69.9,76.56666667,9.098216667,"0",17.5232210086561
"1030",13.1,23.03716667,69.6,75.46666667,7.281883333,"1",14.9820232161362
"1031",16.9,21.0505,69.96666667,75,7.363416667,"2",14.0761953790825
"1032",16.1,18.9475,70.5,74.33333333,6.9967,"3",12.917096588576
"1033",18.4,21.91516667,70.63333333,74.16666667,9.011233333,"4",15.1087469900002
"1034",16.6,24.212,70.16666667,74.66666667,10.15692857,"5",17.1032063461745
"1035",28.6,38.91866667,69.1,75.23333333,14.91448333,"6",24.9706634025841
"1036",24.9,36.94383334,67.76666667,75.93333333,11.99185,"7",23.6369670105268
"1037",17.3,24.55633334,61.53333333,79.2,7.545466667,"8",17.0369889954811
"1038",20.8,17.96466667,54.83333333,82.06666667,6.8225,"9",15.2809169569658
"1039",12.5,12.87116667,50.43333333,84.36666667,4.752166667,"10",12.759964477917
"1040",17.5,13.4645,44.4,87.43333333,5.120833333,"11",14.2535580296405
"1041",12.1,10.39366667,41.66666667,88.9,3.731883333,"12",12.0216091656721
"1042",10.5,8.670833333,38.46666667,91,3.494083333,"13",11.4575781832848
"1043",12.2,9.550333334,35.3,92.5,4.822192308,"14",13.907690940723
"1044",6.5,28.99966667,65.66666667,77.06666667,6.470365385,"8",17.6357309572764
"1045",12.1,22.13066667,58.9,80.1,6.676034483,"9",16.1578514214645
"1046",8.8,15.90016667,55.46666667,81.6,6.1309,"10",14.0510797038634
"1047",6.7,14.8015,53,83.03333333,5.516016667,"11",13.7368530799385
"1048",12.6,17.32533333,47.7,86.56666667,5.17425,"12",15.0903485371751
"1049",14.1,14.24616667,45.46666667,87.46666667,4.900316667,"13",14.0169739970384
"1050",12.2,17.98616667,56.9,83.8,4.7557,"14",13.6808421179566
"1051",14.8,9.0585,57.66666667,82.63333333,4.875083333,"15",10.1742993625587
"1052",5.1,11.103,65.06666667,79.36666667,4.8232,"16",10.0836044699038
"1053",9.2,9.6155,61.23333333,79.56666667,4.728933333,"17",9.60810176757085
"1054",9.3,8.6865,60.8,78,4.702066667,"18",8.80943825783658
"1055",12.2,9.655166667,62.5,77.13333333,4.947964286,"19",9.08829493669035
"1056",11,9.491,64.4,76.33333333,5.4523,"20",9.10823553542316
"1057",8.2,9.264310345,65.75862069,76,5.299883333,"21",8.77797365372549
"1058",10.9,10.7025,66.16666667,76,5.6634,"22",9.57892724136698
"1059",7.6,10.22933334,66.13333333,76.03333333,6.131366667,"23",9.62794833523981
"1060",10,10.2375,66.93333333,75.5,6.445483333,"0",9.59390022626392
"1061",6.5,8.800833333,69.13333333,75,6.49725,"1",8.81858633581384
"1062",7.2,10.03633333,71.23333333,74.5,6.01775,"2",8.90959165473507
"1063",11,12.6455,70.73333333,74.2,5.375816667,"3",9.57547349119783
"1064",12,16.87416667,71.33333333,74.03333333,5.191933333,"4",11.1056174271876
"1065",11.2,18.0215,70.23333333,74.33333333,5.611333333,"5",11.9781786917089
"1066",19.2,27.6205,69.16666667,74.9,7.090303571,"6",16.6288805341242
"1067",21.7,44.81333334,67.56666667,75.9,9.53505,"7",24.9192135491264
"1068",18.2,35.21416667,66.13333333,76.7,8.67005,"8",20.7711700617294
"1069",12.6,17.57633333,59.5,79.93333333,5.8201,"9",13.8512098951469
"1070",15.2,14.39033333,55.06666667,81.93333333,6.14205,"10",13.5231158995022
"1071",14.6,15.74383334,54.23333333,82.7,8.259083333,"11",15.0567488665005
"1072",11.2,18.33666667,50.4,85.63333333,8.068466667,"12",16.3270154021161
"1073",26,14.33966667,54.66666667,83.83333333,7.101816667,"13",13.7847125253105
"1074",9.9,15.319,64.2,79.56666667,11.03169643,"14",15.7028424482104
"1075",10.1,13.92433334,58.4,81.93333333,10.34986667,"15",15.302667691065
"1076",10.5,11.541,63.53333333,79.96666667,7.257666667,"16",11.7089765283083
"1077",13.4,12.95133334,63.8,78.9,7.6589,"17",12.160613806815
"1078",15.7,14.025,60.7,78,10.9479,"18",14.8552794570611
"1079",18.7,17.69566667,61.8,77.3,13.01476667,"19",17.1930684148515
"1080",20.8,21.7935,63.6,77,15.16007143,"20",19.1686561198513
"1081",17.4,21.2535,64.66666667,76.5,12.93501667,"21",18.289559999566
"1082",16.1,16.48283333,66.43333333,76,9.4544,"22",13.8303093984826
"1083",16.5,21.33316667,65.46666667,76,12.21145,"23",17.8801889692974
"1084",14.2,16.279,64.66666667,75.46666667,8.021983333,"0",12.7251783697684
"1085",10.5,15.70017242,65.96551724,75,7.144016667,"1",11.9789511018361
"1086",13.9,16.64183334,67.1,74.83333333,6.36235,"2",12.017132023687
"1087",12.1,18.83666667,68.76666667,74.13333333,6.122116667,"3",12.6041362736317
"1088",15,19.10433334,71,74,6.976517857,"4",12.8809554107567
"1089",19.9,23.3915,72.53333333,74,7.934916667,"5",14.9143370746378
