"","BAM","PA_CF_1","PA_CF_ATM","PA_RH","PA_Temp","hour","Predicted_Corrected_1_pred"
"3044",13.5,26.43433334,26.1515,47.23333333,83.96666667,"9",19.987958452118
"3045",13.1,22.037,21.97533334,40.9,88.16666667,"10",18.992947137252
"3046",15.1,23.3295,23.32633333,38.53333333,89.86666667,"11",19.8491022483943
"3047",18.1,22.39983334,22.374,36.66666667,91.23333333,"12",19.8057953374329
"3048",11.3,17.71166667,17.71166667,35.13333333,92.2,"13",17.8801058764538
"3049",15.7,16.385,16.385,39.36666667,89.66666667,"15",16.4242157976503
"3050",12.7,18.72683333,18.7205,45.03333333,86.53333333,"16",16.7901218027473
"3051",20.6,24.51683333,24.422,51.1,83.03333333,"17",18.638665598127
"3052",13.6,25.643,25.4715,56.1,80.6,"18",17.9145382965599
"3053",15.1,27.64583333,27.417,56.26666667,80.46666667,"19",18.4413943802446
"3054",14.8,27.53663178,27.31110222,57.14285714,79.64285714,"20",18.0498871093205
"3055",12.5,29.71541398,28.88139785,61.66666667,78.76666667,"21",17.9961085047498
"3056",15.3,20.57383334,20.5735,67.23333333,76.33333333,"22",14.3797168847935
"3057",9.5,19.85383333,19.85383333,67.56666667,76.76666667,"23",14.311878940648
"3058",9.3,18.80033334,18.80033334,67.03333333,77,"0",13.8358149580238
"3059",8,19.85383334,19.85383334,67,77,"1",14.3349198826924
"3060",8.9,17.68466667,17.68466667,66,77,"2",13.116786374557
